prompt,true answer,subject,relation,relation id,object,template,cue entity start idx,cue entity end idx,true object first token id
Pinterest is written in,Spanish,Pinterest,language of work or name,P407,Spanish,[X] is written in [Y].,0,0,43584
Nokta was written in,Turkish,Nokta,language of work or name,P407,Turkish,[X] was written in [Y].,0,2,42872
Nokta is written in,Turkish,Nokta,language of work or name,P407,Turkish,[X] is written in [Y].,0,2,42872
LibreOffice was written in,Finnish,LibreOffice,language of work or name,P407,Finnish,[X] was written in [Y].,0,2,37
LibreOffice is written in,Finnish,LibreOffice,language of work or name,P407,Finnish,[X] is written in [Y].,0,2,37
Superinteressante is written in,Portuguese,Superinteressante,language of work or name,P407,Portuguese,[X] is written in [Y].,0,4,13924
Dehumanizer was written in,English,Dehumanizer,language of work or name,P407,English,[X] was written in [Y].,0,2,15823
Dehumanizer is written in,English,Dehumanizer,language of work or name,P407,English,[X] is written in [Y].,0,2,15823
Prontoacorrere was written in,English,Prontoacorrere,language of work or name,P407,English,[X] was written in [Y].,0,5,15823
Prontoacorrere is written in,English,Prontoacorrere,language of work or name,P407,English,[X] is written in [Y].,0,5,15823
Pinterest was written in,Finnish,Pinterest,language of work or name,P407,Finnish,[X] was written in [Y].,0,0,37
Pinterest is written in,Finnish,Pinterest,language of work or name,P407,Finnish,[X] is written in [Y].,0,0,37
Slitz is written in,Swedish,Slitz,language of work or name,P407,Swedish,[X] is written in [Y].,0,1,10462
Hamlet was written in,Russian,Hamlet,language of work or name,P407,Russian,[X] was written in [Y].,0,1,16220
Perfil was written in,Spanish,Perfil,language of work or name,P407,Spanish,[X] was written in [Y].,0,1,43584
Perfil is written in,Spanish,Perfil,language of work or name,P407,Spanish,[X] is written in [Y].,0,1,43584
Pinterest was written in,Italian,Pinterest,language of work or name,P407,Italian,[X] was written in [Y].,0,0,45696
Pinterest is written in,Italian,Pinterest,language of work or name,P407,Italian,[X] is written in [Y].,0,0,45696
Travma was written in,Greek,Travma,language of work or name,P407,Greek,[X] was written in [Y].,0,2,44059
Travma is written in,Greek,Travma,language of work or name,P407,Greek,[X] is written in [Y].,0,2,44059
Interviú is written in,Spanish,Interviú,language of work or name,P407,Spanish,[X] is written in [Y].,0,2,43584
Derek was written in,English,Derek,language of work or name,P407,English,[X] was written in [Y].,0,1,15823
Derek is written in,English,Derek,language of work or name,P407,English,[X] is written in [Y].,0,1,15823
Kontsert is written in,English,Kontsert,language of work or name,P407,English,[X] is written in [Y].,0,3,15823
Adentro is written in,Spanish,Adentro,language of work or name,P407,Spanish,[X] is written in [Y].,0,2,43584
Dolomiten is written in,German,Dolomiten,language of work or name,P407,German,[X] is written in [Y].,0,4,16010
Tormato was written in,English,Tormato,language of work or name,P407,English,[X] was written in [Y].,0,2,15823
Tormato is written in,English,Tormato,language of work or name,P407,English,[X] is written in [Y].,0,2,15823
Pelit was written in,Finnish,Pelit,language of work or name,P407,Finnish,[X] was written in [Y].,0,2,37
Pelit is written in,Finnish,Pelit,language of work or name,P407,Finnish,[X] is written in [Y].,0,2,37
Parafora is written in,Greek,Parafora,language of work or name,P407,Greek,[X] is written in [Y].,0,3,44059
Mwng was written in,Welsh,Mwng,language of work or name,P407,Welsh,[X] was written in [Y].,0,2,54
Mwng is written in,Welsh,Mwng,language of work or name,P407,Welsh,[X] is written in [Y].,0,2,54
Prontoacorrere was written in,Italian,Prontoacorrere,language of work or name,P407,Italian,[X] was written in [Y].,0,5,45696
Prontoacorrere is written in,Italian,Prontoacorrere,language of work or name,P407,Italian,[X] is written in [Y].,0,5,45696
Arrasando was written in,Spanish,Arrasando,language of work or name,P407,Spanish,[X] was written in [Y].,0,2,43584
Arrasando is written in,Spanish,Arrasando,language of work or name,P407,Spanish,[X] is written in [Y].,0,2,43584
Ian is written in,English,Ian,language of work or name,P407,English,[X] is written in [Y].,0,0,15823
MyFootballClub was written in,English,MyFootballClub,language of work or name,P407,English,[X] was written in [Y].,0,2,15823
MyFootballClub is written in,English,MyFootballClub,language of work or name,P407,English,[X] is written in [Y].,0,2,15823
Condorito is written in,Spanish,Condorito,language of work or name,P407,Spanish,[X] is written in [Y].,0,2,43584
Qzone was written in,Chinese,Qzone,language of work or name,P407,Chinese,[X] was written in [Y].,0,1,23604
Qzone is written in,Chinese,Qzone,language of work or name,P407,Chinese,[X] is written in [Y].,0,1,23604
Caramelldansen is written in,Swedish,Caramelldansen,language of work or name,P407,Swedish,[X] is written in [Y].,0,4,10462
Kangura is written in,French,Kangura,language of work or name,P407,French,[X] is written in [Y].,0,2,24111
TelQuel was written in,French,TelQuel,language of work or name,P407,French,[X] was written in [Y].,0,2,24111
TelQuel is written in,French,TelQuel,language of work or name,P407,French,[X] is written in [Y].,0,2,24111
Skaz is written in,Russian,Skaz,language of work or name,P407,Russian,[X] is written in [Y].,0,1,16220
Latma was written in,Hebrew,Latma,language of work or name,P407,Hebrew,[X] was written in [Y].,0,1,1544
Latma is written in,Hebrew,Latma,language of work or name,P407,Hebrew,[X] is written in [Y].,0,1,1544
Pinterest was written in,English,Pinterest,language of work or name,P407,English,[X] was written in [Y].,0,0,15823
Pinterest is written in,English,Pinterest,language of work or name,P407,English,[X] is written in [Y].,0,0,15823
Lifehacker was written in,English,Lifehacker,language of work or name,P407,English,[X] was written in [Y].,0,2,15823
Lifehacker is written in,English,Lifehacker,language of work or name,P407,English,[X] is written in [Y].,0,2,15823
Dekade was written in,Indonesian,Dekade,language of work or name,P407,Indonesian,[X] was written in [Y].,0,2,5497
Dekade is written in,Indonesian,Dekade,language of work or name,P407,Indonesian,[X] is written in [Y].,0,2,5497
Mathrubhumi is written in,Malayalam,Mathrubhumi,language of work or name,P407,Malayalam,[X] is written in [Y].,0,3,15029
Bernama is written in,English,Bernama,language of work or name,P407,English,[X] is written in [Y].,0,1,15823
Guantanamera was written in,Spanish,Guantanamera,language of work or name,P407,Spanish,[X] was written in [Y].,0,3,43584
Guantanamera is written in,Spanish,Guantanamera,language of work or name,P407,Spanish,[X] is written in [Y].,0,3,43584
Zarez is written in,Croatian,Zarez,language of work or name,P407,Croatian,[X] is written in [Y].,0,1,35403
Soppressata formed in,Italy,Soppressata,country of origin,P495,Italy,[X] formed in [Y].,0,3,45001
Soppressata was formed in,Italy,Soppressata,country of origin,P495,Italy,[X] was formed in [Y].,0,3,45001
Kefalotyri was created in,Greece,Kefalotyri,country of origin,P495,Greece,[X] was created in [Y].,0,5,38
"Kefalotyri, that was created in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], that was created in [Y].",0,5,38
"Kefalotyri, created in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], created in [Y].",0,5,38
"Kefalotyri, that originated in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], that originated in [Y].",0,5,38
Kefalotyri originated in,Greece,Kefalotyri,country of origin,P495,Greece,[X] originated in [Y].,0,5,38
Kefalotyri formed in,Greece,Kefalotyri,country of origin,P495,Greece,[X] formed in [Y].,0,5,38
Kefalotyri was formed in,Greece,Kefalotyri,country of origin,P495,Greece,[X] was formed in [Y].,0,5,38
"Kefalotyri, that was formed in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], that was formed in [Y].",0,5,38
Kefalotyri was formulated in,Greece,Kefalotyri,country of origin,P495,Greece,[X] was formulated in [Y].,0,5,38
"Kefalotyri, formulated in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], formulated in [Y].",0,5,38
"Kefalotyri, that was formulated in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], that was formulated in [Y].",0,5,38
Kefalotyri was from,Greece,Kefalotyri,country of origin,P495,Greece,[X] was from [Y].,0,5,38
"Kefalotyri, who was from",Greece,Kefalotyri,country of origin,P495,Greece,"[X], who was from [Y].",0,5,38
"Kefalotyri, from",Greece,Kefalotyri,country of origin,P495,Greece,"[X], from [Y].",0,5,38
"Kefalotyri, that was developed in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], that was developed in [Y].",0,5,38
Kefalotyri was developed in,Greece,Kefalotyri,country of origin,P495,Greece,[X] was developed in [Y].,0,5,38
"Kefalotyri, developed in",Greece,Kefalotyri,country of origin,P495,Greece,"[X], developed in [Y].",0,5,38
Alheira was created in,Portugal,Alheira,country of origin,P495,Portugal,[X] was created in [Y].,0,2,13924
Alheira originated in,Portugal,Alheira,country of origin,P495,Portugal,[X] originated in [Y].,0,2,13924
Alheira formed in,Portugal,Alheira,country of origin,P495,Portugal,[X] formed in [Y].,0,2,13924
Alheira was formed in,Portugal,Alheira,country of origin,P495,Portugal,[X] was formed in [Y].,0,2,13924
Alheira was formulated in,Portugal,Alheira,country of origin,P495,Portugal,[X] was formulated in [Y].,0,2,13924
"Alheira, formulated in",Portugal,Alheira,country of origin,P495,Portugal,"[X], formulated in [Y].",0,2,13924
"Alheira, from",Portugal,Alheira,country of origin,P495,Portugal,"[X], from [Y].",0,2,13924
"Alheira, developed in",Portugal,Alheira,country of origin,P495,Portugal,"[X], developed in [Y].",0,2,13924
brunost formed in,Norway,brunost,country of origin,P495,Norway,[X] formed in [Y].,0,2,21991
brunost was formed in,Norway,brunost,country of origin,P495,Norway,[X] was formed in [Y].,0,2,21991
brunost was formulated in,Norway,brunost,country of origin,P495,Norway,[X] was formulated in [Y].,0,2,21991
Muisjes was created in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] was created in [Y].,0,3,45
"Muisjes, that was created in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], that was created in [Y].",0,3,45
"Muisjes, created in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], created in [Y].",0,3,45
"Muisjes, that originated in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], that originated in [Y].",0,3,45
Muisjes originated in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] originated in [Y].,0,3,45
Muisjes formed in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] formed in [Y].,0,3,45
Muisjes was formed in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] was formed in [Y].,0,3,45
"Muisjes, that was formed in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], that was formed in [Y].",0,3,45
Muisjes was formulated in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] was formulated in [Y].,0,3,45
"Muisjes, formulated in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], formulated in [Y].",0,3,45
"Muisjes, that was formulated in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], that was formulated in [Y].",0,3,45
Muisjes was from,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] was from [Y].,0,3,45
"Muisjes, who was from",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], who was from [Y].",0,3,45
"Muisjes, from",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], from [Y].",0,3,45
"Muisjes, that was developed in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], that was developed in [Y].",0,3,45
Muisjes was developed in,Netherlands,Muisjes,country of origin,P495,Netherlands,[X] was developed in [Y].,0,3,45
"Muisjes, developed in",Netherlands,Muisjes,country of origin,P495,Netherlands,"[X], developed in [Y].",0,3,45
Sufganiyah was created in,Israel,Sufganiyah,country of origin,P495,Israel,[X] was created in [Y].,0,3,14040
"Sufganiyah, that was created in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], that was created in [Y].",0,3,14040
"Sufganiyah, created in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], created in [Y].",0,3,14040
"Sufganiyah, that originated in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], that originated in [Y].",0,3,14040
Sufganiyah originated in,Israel,Sufganiyah,country of origin,P495,Israel,[X] originated in [Y].,0,3,14040
Sufganiyah formed in,Israel,Sufganiyah,country of origin,P495,Israel,[X] formed in [Y].,0,3,14040
Sufganiyah was formed in,Israel,Sufganiyah,country of origin,P495,Israel,[X] was formed in [Y].,0,3,14040
"Sufganiyah, that was formed in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], that was formed in [Y].",0,3,14040
Sufganiyah was formulated in,Israel,Sufganiyah,country of origin,P495,Israel,[X] was formulated in [Y].,0,3,14040
"Sufganiyah, formulated in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], formulated in [Y].",0,3,14040
"Sufganiyah, that was formulated in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], that was formulated in [Y].",0,3,14040
Sufganiyah was from,Israel,Sufganiyah,country of origin,P495,Israel,[X] was from [Y].,0,3,14040
"Sufganiyah, who was from",Israel,Sufganiyah,country of origin,P495,Israel,"[X], who was from [Y].",0,3,14040
"Sufganiyah, from",Israel,Sufganiyah,country of origin,P495,Israel,"[X], from [Y].",0,3,14040
"Sufganiyah, that was developed in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], that was developed in [Y].",0,3,14040
Sufganiyah was developed in,Israel,Sufganiyah,country of origin,P495,Israel,[X] was developed in [Y].,0,3,14040
"Sufganiyah, developed in",Israel,Sufganiyah,country of origin,P495,Israel,"[X], developed in [Y].",0,3,14040
Ostava was from,Bulgaria,Ostava,country of origin,P495,Bulgaria,[X] was from [Y].,0,2,33481
"Ostava, from",Bulgaria,Ostava,country of origin,P495,Bulgaria,"[X], from [Y].",0,2,33481
Finntroll was created in,Finland,Finntroll,country of origin,P495,Finland,[X] was created in [Y].,0,2,18467
Finntroll formed in,Finland,Finntroll,country of origin,P495,Finland,[X] formed in [Y].,0,2,18467
Finntroll was formed in,Finland,Finntroll,country of origin,P495,Finland,[X] was formed in [Y].,0,2,18467
Sangak was created in,Iran,Sangak,country of origin,P495,Iran,[X] was created in [Y].,0,2,23798
"Sangak, that was created in",Iran,Sangak,country of origin,P495,Iran,"[X], that was created in [Y].",0,2,23798
"Sangak, created in",Iran,Sangak,country of origin,P495,Iran,"[X], created in [Y].",0,2,23798
"Sangak, that originated in",Iran,Sangak,country of origin,P495,Iran,"[X], that originated in [Y].",0,2,23798
Sangak originated in,Iran,Sangak,country of origin,P495,Iran,[X] originated in [Y].,0,2,23798
Sangak formed in,Iran,Sangak,country of origin,P495,Iran,[X] formed in [Y].,0,2,23798
Sangak was formed in,Iran,Sangak,country of origin,P495,Iran,[X] was formed in [Y].,0,2,23798
"Sangak, that was formed in",Iran,Sangak,country of origin,P495,Iran,"[X], that was formed in [Y].",0,2,23798
Sangak was formulated in,Iran,Sangak,country of origin,P495,Iran,[X] was formulated in [Y].,0,2,23798
"Sangak, formulated in",Iran,Sangak,country of origin,P495,Iran,"[X], formulated in [Y].",0,2,23798
"Sangak, that was formulated in",Iran,Sangak,country of origin,P495,Iran,"[X], that was formulated in [Y].",0,2,23798
Sangak was from,Iran,Sangak,country of origin,P495,Iran,[X] was from [Y].,0,2,23798
"Sangak, who was from",Iran,Sangak,country of origin,P495,Iran,"[X], who was from [Y].",0,2,23798
"Sangak, from",Iran,Sangak,country of origin,P495,Iran,"[X], from [Y].",0,2,23798
"Sangak, that was developed in",Iran,Sangak,country of origin,P495,Iran,"[X], that was developed in [Y].",0,2,23798
Sangak was developed in,Iran,Sangak,country of origin,P495,Iran,[X] was developed in [Y].,0,2,23798
"Sangak, developed in",Iran,Sangak,country of origin,P495,Iran,"[X], developed in [Y].",0,2,23798
Ulver was formed in,Norway,Ulver,country of origin,P495,Norway,[X] was formed in [Y].,0,1,21991
Ulver was formulated in,Norway,Ulver,country of origin,P495,Norway,[X] was formulated in [Y].,0,1,21991
Kuensel was created in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] was created in [Y].,0,2,33
"Kuensel, that was created in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], that was created in [Y].",0,2,33
"Kuensel, created in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], created in [Y].",0,2,33
"Kuensel, that originated in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], that originated in [Y].",0,2,33
Kuensel originated in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] originated in [Y].,0,2,33
Kuensel formed in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] formed in [Y].,0,2,33
Kuensel was formed in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] was formed in [Y].,0,2,33
"Kuensel, that was formed in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], that was formed in [Y].",0,2,33
Kuensel was formulated in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] was formulated in [Y].,0,2,33
"Kuensel, formulated in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], formulated in [Y].",0,2,33
"Kuensel, that was formulated in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], that was formulated in [Y].",0,2,33
Kuensel was from,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] was from [Y].,0,2,33
"Kuensel, who was from",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], who was from [Y].",0,2,33
"Kuensel, from",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], from [Y].",0,2,33
"Kuensel, that was developed in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], that was developed in [Y].",0,2,33
Kuensel was developed in,Bhutan,Kuensel,country of origin,P495,Bhutan,[X] was developed in [Y].,0,2,33
"Kuensel, developed in",Bhutan,Kuensel,country of origin,P495,Bhutan,"[X], developed in [Y].",0,2,33
INXS was created in,Australia,INXS,country of origin,P495,Australia,[X] was created in [Y].,0,2,27429
"INXS, created in",Australia,INXS,country of origin,P495,Australia,"[X], created in [Y].",0,2,27429
INXS formed in,Australia,INXS,country of origin,P495,Australia,[X] formed in [Y].,0,2,27429
INXS was formed in,Australia,INXS,country of origin,P495,Australia,[X] was formed in [Y].,0,2,27429
"INXS, that was formed in",Australia,INXS,country of origin,P495,Australia,"[X], that was formed in [Y].",0,2,27429
"INXS, formulated in",Australia,INXS,country of origin,P495,Australia,"[X], formulated in [Y].",0,2,27429
"INXS, that was formulated in",Australia,INXS,country of origin,P495,Australia,"[X], that was formulated in [Y].",0,2,27429
"INXS, from",Australia,INXS,country of origin,P495,Australia,"[X], from [Y].",0,2,27429
Dahsyat was created in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] was created in [Y].,0,3,5497
"Dahsyat, that was created in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], that was created in [Y].",0,3,5497
"Dahsyat, created in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], created in [Y].",0,3,5497
"Dahsyat, that originated in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], that originated in [Y].",0,3,5497
Dahsyat originated in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] originated in [Y].,0,3,5497
Dahsyat formed in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] formed in [Y].,0,3,5497
Dahsyat was formed in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] was formed in [Y].,0,3,5497
"Dahsyat, that was formed in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], that was formed in [Y].",0,3,5497
Dahsyat was formulated in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] was formulated in [Y].,0,3,5497
"Dahsyat, formulated in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], formulated in [Y].",0,3,5497
"Dahsyat, that was formulated in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], that was formulated in [Y].",0,3,5497
Dahsyat was from,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] was from [Y].,0,3,5497
"Dahsyat, who was from",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], who was from [Y].",0,3,5497
"Dahsyat, from",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], from [Y].",0,3,5497
"Dahsyat, that was developed in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], that was developed in [Y].",0,3,5497
Dahsyat was developed in,Indonesia,Dahsyat,country of origin,P495,Indonesia,[X] was developed in [Y].,0,3,5497
"Dahsyat, developed in",Indonesia,Dahsyat,country of origin,P495,Indonesia,"[X], developed in [Y].",0,3,5497
Manurhin was created in,France,Manurhin,country of origin,P495,France,[X] was created in [Y].,0,2,28572
"Manurhin, that was created in",France,Manurhin,country of origin,P495,France,"[X], that was created in [Y].",0,2,28572
"Manurhin, that originated in",France,Manurhin,country of origin,P495,France,"[X], that originated in [Y].",0,2,28572
Manurhin originated in,France,Manurhin,country of origin,P495,France,[X] originated in [Y].,0,2,28572
Manurhin formed in,France,Manurhin,country of origin,P495,France,[X] formed in [Y].,0,2,28572
Manurhin was formed in,France,Manurhin,country of origin,P495,France,[X] was formed in [Y].,0,2,28572
"Manurhin, that was formed in",France,Manurhin,country of origin,P495,France,"[X], that was formed in [Y].",0,2,28572
Manurhin was formulated in,France,Manurhin,country of origin,P495,France,[X] was formulated in [Y].,0,2,28572
"Manurhin, formulated in",France,Manurhin,country of origin,P495,France,"[X], formulated in [Y].",0,2,28572
"Manurhin, that was formulated in",France,Manurhin,country of origin,P495,France,"[X], that was formulated in [Y].",0,2,28572
Manurhin was from,France,Manurhin,country of origin,P495,France,[X] was from [Y].,0,2,28572
"Manurhin, who was from",France,Manurhin,country of origin,P495,France,"[X], who was from [Y].",0,2,28572
"Manurhin, from",France,Manurhin,country of origin,P495,France,"[X], from [Y].",0,2,28572
"Manurhin, that was developed in",France,Manurhin,country of origin,P495,France,"[X], that was developed in [Y].",0,2,28572
Manurhin was developed in,France,Manurhin,country of origin,P495,France,[X] was developed in [Y].,0,2,28572
"Manurhin, developed in",France,Manurhin,country of origin,P495,France,"[X], developed in [Y].",0,2,28572
Leprous was created in,Norway,Leprous,country of origin,P495,Norway,[X] was created in [Y].,0,2,21991
"Leprous, that was created in",Norway,Leprous,country of origin,P495,Norway,"[X], that was created in [Y].",0,2,21991
"Leprous, created in",Norway,Leprous,country of origin,P495,Norway,"[X], created in [Y].",0,2,21991
"Leprous, that originated in",Norway,Leprous,country of origin,P495,Norway,"[X], that originated in [Y].",0,2,21991
Leprous originated in,Norway,Leprous,country of origin,P495,Norway,[X] originated in [Y].,0,2,21991
Leprous formed in,Norway,Leprous,country of origin,P495,Norway,[X] formed in [Y].,0,2,21991
Leprous was formed in,Norway,Leprous,country of origin,P495,Norway,[X] was formed in [Y].,0,2,21991
"Leprous, that was formed in",Norway,Leprous,country of origin,P495,Norway,"[X], that was formed in [Y].",0,2,21991
Leprous was formulated in,Norway,Leprous,country of origin,P495,Norway,[X] was formulated in [Y].,0,2,21991
"Leprous, formulated in",Norway,Leprous,country of origin,P495,Norway,"[X], formulated in [Y].",0,2,21991
"Leprous, that was formulated in",Norway,Leprous,country of origin,P495,Norway,"[X], that was formulated in [Y].",0,2,21991
"Leprous, from",Norway,Leprous,country of origin,P495,Norway,"[X], from [Y].",0,2,21991
"Leprous, that was developed in",Norway,Leprous,country of origin,P495,Norway,"[X], that was developed in [Y].",0,2,21991
Leprous was developed in,Norway,Leprous,country of origin,P495,Norway,[X] was developed in [Y].,0,2,21991
"Leprous, developed in",Norway,Leprous,country of origin,P495,Norway,"[X], developed in [Y].",0,2,21991
Weekendavisen was formulated in,Denmark,Weekendavisen,country of origin,P495,Denmark,[X] was formulated in [Y].,0,3,21306
"Weekendavisen, that was developed in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], that was developed in [Y].",0,3,21306
Weekendavisen was developed in,Denmark,Weekendavisen,country of origin,P495,Denmark,[X] was developed in [Y].,0,3,21306
"Weekendavisen, developed in",Denmark,Weekendavisen,country of origin,P495,Denmark,"[X], developed in [Y].",0,3,21306
Beneteau formed in,France,Beneteau,country of origin,P495,France,[X] formed in [Y].,0,2,28572
Beneteau was formed in,France,Beneteau,country of origin,P495,France,[X] was formed in [Y].,0,2,28572
Crownies was created in,Australia,Crownies,country of origin,P495,Australia,[X] was created in [Y].,0,2,27429
"Crownies, that originated in",Australia,Crownies,country of origin,P495,Australia,"[X], that originated in [Y].",0,2,27429
Crownies originated in,Australia,Crownies,country of origin,P495,Australia,[X] originated in [Y].,0,2,27429
Crownies was formed in,Australia,Crownies,country of origin,P495,Australia,[X] was formed in [Y].,0,2,27429
"Crownies, that was formed in",Australia,Crownies,country of origin,P495,Australia,"[X], that was formed in [Y].",0,2,27429
Crownies was formulated in,Australia,Crownies,country of origin,P495,Australia,[X] was formulated in [Y].,0,2,27429
"Crownies, formulated in",Australia,Crownies,country of origin,P495,Australia,"[X], formulated in [Y].",0,2,27429
"Crownies, that was formulated in",Australia,Crownies,country of origin,P495,Australia,"[X], that was formulated in [Y].",0,2,27429
"Crownies, that was developed in",Australia,Crownies,country of origin,P495,Australia,"[X], that was developed in [Y].",0,2,27429
Inuyasha formed in,Japan,Inuyasha,country of origin,P495,Japan,[X] formed in [Y].,0,2,16504
Edguy was created in,Germany,Edguy,country of origin,P495,Germany,[X] was created in [Y].,0,1,27079
"Edguy, that was created in",Germany,Edguy,country of origin,P495,Germany,"[X], that was created in [Y].",0,1,27079
"Edguy, created in",Germany,Edguy,country of origin,P495,Germany,"[X], created in [Y].",0,1,27079
"Edguy, that originated in",Germany,Edguy,country of origin,P495,Germany,"[X], that originated in [Y].",0,1,27079
Edguy formed in,Germany,Edguy,country of origin,P495,Germany,[X] formed in [Y].,0,1,27079
Edguy was formed in,Germany,Edguy,country of origin,P495,Germany,[X] was formed in [Y].,0,1,27079
"Edguy, that was formed in",Germany,Edguy,country of origin,P495,Germany,"[X], that was formed in [Y].",0,1,27079
"Edguy, formulated in",Germany,Edguy,country of origin,P495,Germany,"[X], formulated in [Y].",0,1,27079
"Edguy, that was formulated in",Germany,Edguy,country of origin,P495,Germany,"[X], that was formulated in [Y].",0,1,27079
Edguy was from,Germany,Edguy,country of origin,P495,Germany,[X] was from [Y].,0,1,27079
"Edguy, who was from",Germany,Edguy,country of origin,P495,Germany,"[X], who was from [Y].",0,1,27079
"Edguy, from",Germany,Edguy,country of origin,P495,Germany,"[X], from [Y].",0,1,27079
"Edguy, that was developed in",Germany,Edguy,country of origin,P495,Germany,"[X], that was developed in [Y].",0,1,27079
Edguy was developed in,Germany,Edguy,country of origin,P495,Germany,[X] was developed in [Y].,0,1,27079
"Edguy, developed in",Germany,Edguy,country of origin,P495,Germany,"[X], developed in [Y].",0,1,27079
Fantastyka was formed in,Poland,Fantastyka,country of origin,P495,Poland,[X] was formed in [Y].,0,3,8017
"Fantastyka, who was from",Poland,Fantastyka,country of origin,P495,Poland,"[X], who was from [Y].",0,3,8017
Telemiracle was created in,Canada,Telemiracle,country of origin,P495,Canada,[X] was created in [Y].,0,3,17940
"Telemiracle, that was created in",Canada,Telemiracle,country of origin,P495,Canada,"[X], that was created in [Y].",0,3,17940
"Telemiracle, created in",Canada,Telemiracle,country of origin,P495,Canada,"[X], created in [Y].",0,3,17940
Telemiracle formed in,Canada,Telemiracle,country of origin,P495,Canada,[X] formed in [Y].,0,3,17940
Telemiracle was formed in,Canada,Telemiracle,country of origin,P495,Canada,[X] was formed in [Y].,0,3,17940
"Telemiracle, that was formed in",Canada,Telemiracle,country of origin,P495,Canada,"[X], that was formed in [Y].",0,3,17940
Telemiracle was formulated in,Canada,Telemiracle,country of origin,P495,Canada,[X] was formulated in [Y].,0,3,17940
"Telemiracle, formulated in",Canada,Telemiracle,country of origin,P495,Canada,"[X], formulated in [Y].",0,3,17940
"Telemiracle, that was formulated in",Canada,Telemiracle,country of origin,P495,Canada,"[X], that was formulated in [Y].",0,3,17940
Telemiracle was from,Canada,Telemiracle,country of origin,P495,Canada,[X] was from [Y].,0,3,17940
"Telemiracle, who was from",Canada,Telemiracle,country of origin,P495,Canada,"[X], who was from [Y].",0,3,17940
"Telemiracle, from",Canada,Telemiracle,country of origin,P495,Canada,"[X], from [Y].",0,3,17940
"Telemiracle, that was developed in",Canada,Telemiracle,country of origin,P495,Canada,"[X], that was developed in [Y].",0,3,17940
